N,RED,INSTITUCION_EDUCATIVA,GRADO,SECCION,TURNO,NRO_DE_ESTUDIANTES_MATRICULADOS,NRO_DE_ESTUDIANTES_EVALUADOS,P 1,P 2,P 3,P 4,P 5,P 6,P 7,P 8,P 9,P 10,P 11,P 12,P 13,P 14,P 15,P 16,P 17,P 18,P 19,P 20,CAPACIDADES,Unnamed: 30,Unnamed: 31,Unnamed: 32,%_POR_CAPACIDAD,Unnamed: 34,Unnamed: 35,Unnamed: 36,PROMEDIO_X_SECCION
1,1.0,"I.E. Nº 5116 ""DIVINO CREADOR""",1ro,2.0,2.0,47.0,47.0,18,20,17,17,8,6,9,3,16,16,8,9,13,7,12,0,0,0,0,0,2.0,2.0,1.0,0.0,36%,23%,24%,0%,8.0
2,1.0,"I.E. Nº 5122 ""ANDRES RAZURI ESTEVEZ""",1ro,3.0,3.0,103.0,98.0,95,98,96,61,51,64,62,62,29,59,54,37,39,57,54,0,0,0,0,0,3.0,4.0,2.0,0.0,77%,58%,45%,0%,17.0
3,1.0,"I.E. Nº 5124 ""LIBERTADOR SIMON BOLIVAR""  HIROSHIMA",1ro,3.0,3.0,134.0,134.0,97,94,56,41,33,47,50,36,27,54,43,29,42,69,18,0,0,0,0,0,2.0,2.0,1.0,0.0,51%,35%,24%,0%,10.0
4,1.0,"I.E. Nº 5125 ""CASUARINAS""",1ro,4.0,4.0,135.0,132.0,122,119,112,74,40,56,62,79,27,88,75,68,66,76,50,0,0,0,0,0,3.0,4.0,2.0,0.0,72%,56%,42%,0%,16.0
5,1.0,"I.E. Nº 5127 ""MÁRTIR JOSE OLAYA """,1ro,5.0,5.0,140.0,133.0,104,100,105,81,52,65,70,69,30,65,35,26,44,53,36,0,0,0,0,0,3.0,3.0,1.0,0.0,69%,49%,38%,0%,11.0
6,1.0,"I.E. Nº 5129 ""VENCEDORES DE PACHACÚTEC""",1ro,4.0,4.0,124.0,110.0,97,94,98,64,26,48,56,79,28,83,53,55,63,68,65,0,0,0,0,0,3.0,4.0,2.0,0.0,71%,56%,53%,0%,17.0
7,1.0,"I.E. Nº 5130- ""PACHACÚTEC""",1ro,5.0,5.0,151.0,144.0,128,119,104,81,56,64,74,78,51,89,74,66,73,63,55,0,0,0,0,0,3.0,4.0,2.0,0.0,71%,51%,45%,0%,15.0
8,1.0,I.E. Nº 5140 PRES. DE LA REPUBLICA DE COLOMBIA DR. ALVARO URIBE VELEZ,1ro,2.0,2.0,64.0,90.0,29,40,26,30,7,24,15,23,10,31,21,16,29,16,23,0,0,0,0,0,2.0,2.0,1.0,0.0,32%,23%,24%,0%,8.0
9,1.0,I.E. 5141,1ro,3.0,3.0,121.0,121.0,76,66,61,40,41,43,38,45,32,66,21,48,61,55,51,0,0,0,0,0,2.0,3.0,1.0,0.0,49%,43%,42%,0%,13.0
10,1.0,I.E. Nº  5147,1ro,2.0,2.0,47.0,43.0,32,32,28,9,5,14,10,6,12,31,12,12,15,7,9,0,0,0,0,0,2.0,3.0,1.0,0.0,48%,36%,25%,0%,10.0
11,1.0,IE Nº 5148 - LAS BRISAS DE PACHACÚTEC,1ro,1.0,1.0,28.0,27.0,26,27,22,15,8,13,10,15,6,19,11,5,12,18,11,0,0,0,0,0,3.0,4.0,2.0,0.0,72%,51%,41%,0%,15.0
12,1.0,I.E. N° 5154,1ro,1.0,1.0,34.0,30.0,24,21,27,7,5,10,10,12,9,13,12,7,5,10,8,0,0,0,0,0,2.0,3.0,1.0,0.0,52%,40%,28%,0%,11.0
13,1.0,I.E. FE Y ALEGRIA 59,1ro,2.0,2.0,68.0,68.0,65,59,65,58,45,39,58,44,42,50,37,15,33,42,43,0,0,0,0,0,4.0,4.0,3.0,0.0,88%,62%,38%,0%,19.0
14,1.0,I.E. SAN JUAN MACIAS,1ro,2.0,2.0,57.0,57.0,57,51,52,39,9,20,17,29,14,34,26,18,31,28,49,0,0,0,0,0,3.0,4.0,2.0,0.0,72%,46%,54%,0%,16.0
15,1.0,IE Nº 5142  - VIRGEN DE GUADALUPE,1ro,3.0,3.0,85.0,87.0,76,54,65,46,40,42,45,48,36,51,43,37,54,50,51,0,0,0,0,0,2.0,3.0,1.0,0.0,44%,37%,34%,0%,11.0
16,2.0,"I.E. Nº 5117 ""JORGE PORTOCARRERO REBAZA""",1ro,5.0,5.0,154.0,143.0,102,102,88,61,54,51,61,55,31,78,57,67,76,59,58,0,0,0,0,0,2.0,4.0,2.0,0.0,63%,51%,44%,0%,15.0
17,2.0,"I.E. Nº 5128 "" SAGRADO CORAZÓN DE MARIA""",1ro,5.0,5.0,154.0,153.0,105,101,106,95,62,83,94,102,79,114,84,83,96,97,71,0,0,0,0,0,3.0,4.0,2.0,0.0,64%,59%,57%,0%,18.0
18,2.0,"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""",1ro,2.0,2.0,67.0,51.0,49,41,21,15,11,16,21,21,9,27,19,14,18,24,16,0,0,0,0,0,3.0,3.0,1.0,0.0,60%,37%,32%,0%,12.0
19,2.0,"I.E. Nº 5145 ""BALNEARIO""",1ro,2.0,2.0,77.0,72.0,42,47,50,46,34,21,35,34,18,41,26,26,27,25,20,0,0,0,0,0,3.0,3.0,1.0,0.0,59%,45%,35%,0%,13.0
20,2.0,I.E. Nº 5146,1ro,2.0,1.0,53.0,47.0,33,25,25,10,12,13,13,15,9,25,10,24,20,19,19,0,0,0,0,0,2.0,3.0,2.0,0.0,43%,38%,37%,0%,12.0
21,2.0,I.E. N° 5152,1ro,2.0,0.0,45.0,40.0,39,36,29,18,9,18,25,6,2,26,27,12,14,20,17,0,0,0,0,0,3.0,4.0,1.0,0.0,74%,51%,25%,0%,13.0
22,2.0,"I.E. ""FE Y ALEGRIA"" Nº 76",1ro,2.0,2.0,66.0,64.0,59,53,49,32,9,26,32,37,25,46,31,18,45,52,36,0,0,0,0,0,3.0,4.0,2.0,0.0,69%,52%,56%,0%,17.0
