N°,RED,INSTITUCION_EDUCATIVA,GRADO,SECCION,TURNO,NRO_DE_ESTUDIANTES_MATRICULADOS,NRO_DE_ESTUDIANTES_EVALUADOS,P 1,P 2,P 3,P 4,P 5,P 6,P 7,P 8,P 9,P 10,P 11,P 12,P 13,P 14,P 15,P 16,P 17,P 18,P 19,P 20,CAPACIDADES,Unnamed: 30,Unnamed: 31,Unnamed: 32,%_POR_CAPACIDAD,Unnamed: 34,Unnamed: 35,Unnamed: 36,PROMEDIO_X_SECCION
1,1.0,"I.E. Nº 5116 ""DIVINO CREADOR""",1ro,2.0,2.0,48.0,44,13,8,5,12,6,5,11,2,11,15,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,28,12,29,29,5.0
2,1.0,"I.E. Nº 5122 ""ANDRES RAZURI ESTEVEZ""",1ro,3.0,3.0,101.0,100,93,68,89,94,32,69,66,81,54,96,0,0,0,0,0,0,0,0,0,0,3,2.0,1.0,2.0,92,60,60,60,15.0
3,1.0,"I.E. Nº 5124 ""LIBERTADOR SIMON BOLIVAR""  HIROSHIMA",1ro,3.0,3.0,135.0,135,84,52,44,84,39,28,31,41,55,24,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,50,24,42,43,7.0
4,1.0,"I.E. Nº 5125 ""CASUARINAS""",1ro,4.0,4.0,135.0,128,99,63,70,95,50,33,73,37,79,103,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,2.0,70,32,60,60,11.0
5,1.0,"I.E. Nº 5127 ""MÁRTIR JOSE OLAYA """,1ro,5.0,5.0,110.0,125,99,63,79,105,52,39,63,33,58,95,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,74,31,49,49,8.0
6,1.0,"I.E. Nº 5129 ""VENCEDORES DE PACHACÚTEC""",1ro,4.0,4.0,124.0,108,88,60,76,95,47,53,63,29,59,96,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,2.0,80,40,57,57,12.0
7,1.0,"I.E. Nº 5130- ""PACHACÚTEC""",1ro,5.0,5.0,151.0,141,124,98,93,100,67,69,77,35,96,89,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,75,40,62,62,12.0
8,1.0,I.E. Nº 5140 PRES. DE LA REPUBLICA DE COLOMBIA DR. ALVARO URIBE VELEZ,1ro,2.0,2.0,64.0,90,23,10,19,19,29,6,8,30,45,17,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,23,24,30,30,5.0
9,1.0,I.E. 5141,1ro,3.0,3.0,68.0,121,88,55,58,90,61,46,48,39,36,73,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,67,43,36,36,10.0
10,1.0,I.E. Nº  5147,1ro,2.0,2.0,47.0,42,37,32,19,25,3,8,13,2,22,33,0,0,0,0,0,0,0,0,0,0,2,0.0,1.0,2.0,64,10,42,42,9.0
