N°,RED,INSTITUCION_EDUCATIVA,GRADO,SECCION,TURNO,NRO_DE_ESTUDIANTES_MATRICULADOS,NRO_DE_ESTUDIANTES_EVALUADOS,P 1,P 2,P 3,P 4,P 5,P 6,P 7,P 8,P 9,P 10,P 11,P 12,P 13,P 14,P 15,P 16,P 17,P 18,P 19,P 20,CAPACIDADES,Unnamed: 30,Unnamed: 31,Unnamed: 32,%_POR_CAPACIDAD,Unnamed: 34,Unnamed: 35,Unnamed: 36,PROMEDIO_X_SECCION
1,1.0,"I.E. Nº 5116 ""DIVINO CREADOR""",2do,3.0,3.0,65.0,48,15,16,31,26,40,18,10,21,9,20,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,43%,33%,67%,30%,9.0
2,1.0,"I.E. Nº 5122 ""ANDRES RAZURI ESTEVEZ""",2do,3.0,3.0,99.0,96,31,52,58,56,85,41,11,64,43,51,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,49%,40%,73%,49%,10.0
3,1.0,"I.E. Nº 5124 ""LIBERTADOR SIMON BOLIVAR""  HIROSHIMA",2do,4.0,4.0,150.0,150,52,71,62,72,100,44,41,67,31,57,0,0,0,0,0,0,0,0,0,0,2,1.0,2.0,1.0,44%,37%,61%,32%,9.0
4,1.0,"I.E. Nº 5125 ""CASUARINAS""",2do,4.0,4.0,138.0,130,63,85,76,83,107,59,64,74,29,57,0,0,0,0,0,0,0,0,0,0,2,1.0,2.0,1.0,58%,50%,74%,33%,11.0
5,1.0,"I.E. Nº 5127 ""MÁRTIR JOSE OLAYA """,2do,5.0,5.0,162.0,153,60,79,80,69,135,71,37,97,22,59,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,42%,36%,55%,22%,8.0
6,1.0,"I.E. Nº 5129 ""VENCEDORES DE PACHACÚTEC""",2do,4.0,4.0,128.0,125,60,92,79,77,112,60,33,88,26,77,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,61%,48%,75%,41%,11.0
7,1.0,"I.E. Nº 5130- ""PACHACÚTEC""",2do,5.0,5.0,173.0,161,68,83,81,76,108,78,57,97,41,63,0,0,0,0,0,0,0,0,0,0,2,2.0,1.0,1.0,48%,47%,65%,28%,9.0
8,1.0,I.E. Nº 5140 PRES. DE LA REPUBLICA DE COLOMBIA DR. ALVARO URIBE VELEZ,2do,3.0,2.0,73.0,80,49,42,60,33,53,49,49,48,18,40,0,0,0,0,0,0,0,0,0,0,1,2.0,1.0,1.0,47%,58%,38%,269%,17.0
9,1.0,I.E. 5141,2do,2.0,2.0,69.0,90,43,44,46,45,59,45,29,49,40,42,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,49%,45%,58%,46%,10.0
10,1.0,I.E. Nº  5147,2do,2.0,2.0,56.0,50,20,21,34,22,44,22,7,30,7,24,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,50%,39%,66%,31%,9.0
11,1.0,IE Nº 5148 - LAS BRISAS DE PACHACÚTEC,2do,1.0,1.0,35.0,35,17,25,29,27,33,23,24,28,11,22,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,68%,71%,86%,47%,14.0
12,1.0,I.E. N° 5154,2do,1.0,1.0,36.0,30,12,17,20,21,26,15,16,21,2,15,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,0%,0%,0%,0%,11.0
