N°,RED,INSTITUCION_EDUCATIVA,GRADO,SECCION,TURNO,NRO_DE_ESTUDIANTES_MATRICULADOS,NRO_DE_ESTUDIANTES_EVALUADOS,P 1,P 2,P 3,P 4,P 5,P 6,P 7,P 8,P 9,P 10,P 11,P 12,P 13,P 14,P 15,P 16,P 17,P 18,P 19,P 20,CAPACIDADES,Unnamed: 30,Unnamed: 31,Unnamed: 32,%_POR_CAPACIDAD,Unnamed: 34,Unnamed: 35,Unnamed: 36,PROMEDIO_X_SECCION
1,1.0,"I.E. Nº 5116 ""DIVINO CREADOR""",3ro,2.0,2.0,57.0,49.0,14,15,11,15,12,19,19,26,12,20,28,9,23,29,30,20,30,27,6,23,2.0,4.0,3.0,0.0,39,36,48,0,16.0
2,1.0,"I.E. Nº 5122 ""ANDRES RAZURI ESTEVEZ""",3ro,3.0,3.0,108.0,107.0,49,30,40,48,40,41,41,84,28,72,63,28,64,87,77,54,68,83,11,76,3.0,4.0,3.0,0.0,57,42,61,0,21.0
3,1.0,"I.E. Nº 5124 ""LIBERTADOR SIMON BOLIVAR""  HIROSHIMA",3ro,4.0,2.0,180.0,180.0,65,43,38,54,49,48,50,86,40,75,78,29,69,104,93,60,73,91,20,59,2.0,3.0,2.0,0.0,38,30,39,0,14.0
4,1.0,"I.E. Nº 5125 ""CASUARINAS""",3ro,4.0,4.0,148.0,142.0,60,44,55,44,49,66,51,98,31,66,88,19,82,112,114,54,86,105,22,83,2.0,4.0,3.0,0.0,46,41,59,0,20.0
5,1.0,"I.E. Nº 5127 ""MÁRTIR JOSE OLAYA """,3ro,5.0,5.0,155.0,154.0,62,61,61,61,59,52,41,106,50,91,81,21,88,107,104,65,92,108,54,93,3.0,4.0,3.0,0.0,52,42,62,0,20.0
6,1.0,"I.E. Nº 5129 ""VENCEDORES DE PACHACÚTEC""",3ro,4.0,4.0,128.0,112.0,51,31,35,48,40,37,34,77,29,59,71,15,59,86,71,50,71,75,20,66,3.0,4.0,3.0,0.0,51,39,55,0,19.0
7,1.0,"I.E. Nº 5130- ""PACHACÚTEC""",3ro,5.0,5.0,178.0,168.0,59,29,50,53,47,59,65,85,43,72,91,18,92,124,128,85,98,121,21,60,2.0,4.0,2.0,0.0,49,36,49,0,17.0
8,1.0,I.E. Nº 5140 PRES. DE LA REPUBLICA DE COLOMBIA DR. ALVARO URIBE VELEZ,3ro,3.0,3.0,96.0,135.0,36,21,18,25,22,18,22,67,8,60,71,40,32,44,65,26,40,71,17,49,2.0,2.0,2.0,0.0,32,22,35,0,11.0
9,1.0,I.E. 5141,3ro,2.0,2.0,77.0,90.0,34,21,31,26,23,22,31,47,26,47,28,21,25,43,45,36,38,48,27,30,2.0,3.0,2.0,0.0,43,32,38,0,14.0
10,1.0,I.E. Nº  5147,3ro,2.0,2.0,58.0,54.0,14,24,13,14,27,12,26,30,20,28,30,17,27,31,27,25,32,41,34,28,2.0,5.0,3.0,0.0,45,45,50,0,19.0
11,1.0,IE Nº 5148 - LAS BRISAS DE PACHACÚTEC,3ro,1.0,1.0,30.0,28.0,10,7,13,15,9,16,10,20,9,16,15,6,12,19,17,11,18,15,6,14,2.0,4.0,3.0,0.0,48,43,50,0,19.0
12,1.0,I.E. N° 5154,3ro,0.0,1.0,29.0,22.0,7,0,4,8,5,4,7,15,5,7,8,4,7,12,16,3,11,15,6,10,2.0,3.0,2.0,0.0,36,30,44,0,14.0
13,1.0,I.E. FE Y ALEGRIA 59,3ro,2.0,2.0,70.0,70.0,31,29,26,29,26,21,25,55,20,44,40,15,39,57,56,32,49,50,4,52,3.0,4.0,4.0,0.0,53,41,66,0,21.0
14,1.0,I.E. SAN JUAN MACIAS,3ro,1.0,1.0,31.0,31.0,28,22,14,16,18,19,18,26,4,24,21,2,22,28,29,26,24,26,3,28,3.0,3.0,3.0,0.0,53,34,56,0,18.0
15,1.0,IE Nº 5142  - VIRGEN DE GUADALUPE,3ro,2.0,2.0,78.0,70.0,39,17,29,27,27,22,27,46,22,33,33,11,38,49,46,30,43,42,5,40,2.0,2.0,2.0,0.0,26,21,29,0,10.0
16,2.0,"I.E. Nº 5117 ""JORGE PORTOCARRERO REBAZA""",3ro,5.0,5.0,169.0,148.0,73,45,65,57,61,42,61,106,44,101,83,26,89,112,116,89,102,103,30,83,3.0,4.0,3.0,0.0,56,41,57,0,20.0
17,2.0,"I.E. Nº 5128 "" SAGRADO CORAZÓN DE MARIA""",3ro,5.0,5.0,150.0,149.0,73,50,57,54,53,70,61,96,44,86,92,17,86,113,117,68,91,94,18,87,2.0,4.0,3.0,0.0,50,42,59,0,20.0
18,2.0,"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""",3ro,2.0,2.0,29.0,48.0,20,5,13,10,13,10,10,25,7,14,11,5,20,21,16,21,11,19,8,13,2.0,3.0,2.0,0.0,15,17,22,0,12.0
19,2.0,"I.E. Nº 5145 ""BALNEARIO""",3ro,2.0,2.0,71.0,65.0,22,15,22,13,23,18,26,44,23,36,33,21,23,44,42,25,31,48,10,38,2.0,4.0,3.0,0.0,45,39,50,0,18.0
20,2.0,I.E. Nº 5146,3ro,2.0,2.0,66.0,60.0,22,10,22,14,13,15,15,44,12,28,35,11,37,41,38,33,31,41,6,34,2.0,3.0,3.0,0.0,45,34,55,0,17.0
21,2.0,I.E. N° 5152,3ro,1.0,0.0,31.0,30.0,10,9,7,12,9,10,11,19,6,14,16,4,11,26,23,14,19,22,0,8,2.0,4.0,2.0,0.0,4800,3600,4700,0,17.0
22,2.0,"I.E. ""FE Y ALEGRIA"" Nº 76",3ro,2.0,2.0,67.0,64.0,32,19,23,27,24,29,25,43,17,34,43,7,44,50,50,35,43,42,8,47,3.0,4.0,3.0,0.0,53,42,64,0,21.0
23,2.0,I.E. COPRODELI SAN FRANCISCO SOLANO,3ro,2.0,0.0,57.0,54.0,33,13,22,28,29,13,20,48,18,32,40,3,39,43,44,28,36,35,18,34,3.0,4.0,3.0,0.0,54,42,62,0,20.0
24,2.0,I.E. COPRODELI SAN MARTIN,3ro,1.0,1.0,33.0,32.0,20,11,12,11,17,15,10,25,3,22,24,2,25,25,27,17,25,25,4,18,3.0,4.0,3.0,0.0,59,43,66,0,21.0
25,2.0,I.E. CROPODELI SANTA MARIA ASUNTA AL CIELO,3ro,2.0,2.0,60.0,54.0,27,11,26,23,19,22,20,41,9,31,39,6,35,48,45,29,43,42,4,41,3.0,5.0,4.0,0.0,56,44,64,0,21.0
26,2.0,I.E. N° 5156 ELIAS AGUIRRE,3ro,2.0,2.0,66.0,63.0,32,13,23,20,19,21,16,28,23,27,34,9,29,37,37,22,30,42,7,34,2.0,4.0,2.0,0.0,45,35,44,0,16.0
27,3.0,IE N° 5087,3ro,3.0,3.0,77.0,73.0,25,16,14,22,16,25,22,47,17,36,46,8,36,47,56,33,38,43,6,32,2.0,3.0,3.0,0.0,44,33,51,0,16.0
28,3.0,IE N° 5120,3ro,2.0,2.0,55.0,55.0,26,13,12,16,18,17,16,37,13,33,30,11,32,40,39,24,34,41,12,33,3.0,4.0,3.0,0.0,51,37,56,0,19.0
29,3.0,FE Y ALEGRIA N°43,3ro,3.0,3.0,93.0,92.0,46,35,30,50,37,40,26,72,24,53,70,8,66,87,82,65,76,72,8,80,3.0,4.0,4.0,0.0,62,44,73,0,23.0
30,3.0, IE N° 3720 NUESTRA SEÑORA DE LA MISERICORDIA,3ro,3.0,3.0,98.0,95.0,52,39,43,37,56,47,24,78,34,65,55,11,67,81,79,59,75,66,42,61,3.0,5.0,3.0,0.0,58,49,68,0,23.0
31,3.0,ESCUELA HOGAR COMUNITARIA REGIONAL SAGRADA FAMILIA,3ro,2.0,2.0,47.0,39.0,14,16,11,12,15,15,15,24,8,21,19,8,27,32,29,22,25,28,6,29,3.0,4.0,3.0,0.0,50,39,65,0,20.0
32,3.0,IEN°5094 NACIONES UNIDAS,3ro,4.0,4.0,116.0,115.0,46,25,39,44,51,36,46,74,33,61,64,17,51,87,83,51,74,81,19,65,3.0,4.0,3.0,0.0,49,41,52,0,18.0
33,3.0,IEN° 5123 FRANCISCO BOLOGNESI,3ro,2.0,2.0,75.0,74.0,29,23,31,30,31,43,27,54,19,44,50,10,50,60,57,47,52,56,9,46,3.0,4.0,3.0,0.0,56,45,62,0,21.0
34,3.0,IE N° 3089  LOS ANGELES,3ro,4.0,4.0,125.0,123.0,55,30,26,35,39,39,41,59,31,67,60,15,58,105,95,51,69,66,13,48,2.0,3.0,2.0,0.0,44,38,48,0,16.0
