N°,RED,INSTITUCION_EDUCATIVA,GRADO,SECCION,TURNO,NRO_DE_ESTUDIANTES_MATRICULADOS,NRO_DE_ESTUDIANTES_EVALUADOS,P 1,P 2,P 3,P 4,P 5,P 6,P 7,P 8,P 9,P 10,P 11,P 12,P 13,P 14,P 15,P 16,P 17,P 18,P 19,P 20,CAPACIDADES,Unnamed: 30,Unnamed: 31,Unnamed: 32,%_POR_CAPACIDAD,Unnamed: 34,Unnamed: 35,Unnamed: 36,PROMEDIO_X_SECCION
1,1.0,"I.E. Nº 5116 ""DIVINO CREADOR""",3ro,2.0,2.0,56.0,45,32,22,30,15,11,25,35,23,13,38,12,23,22,28,13,0,0,0,0,0,3,2.0,2.0,2.0,50,54,54,48,16.0
2,1.0,"I.E. Nº 5122 ""ANDRES RAZURI ESTEVEZ""",3ro,3.0,3.0,108.0,108,71,64,70,46,53,72,64,60,68,97,27,68,82,91,60,0,0,0,0,0,3,3.0,2.0,2.0,56,61,59,72,18.0
3,1.0,"I.E. Nº 5124 ""LIBERTADOR SIMON BOLIVAR""  HIROSHIMA",3ro,4.0,4.0,179.0,179,96,62,90,48,52,66,82,49,72,108,25,89,77,74,53,0,0,0,0,0,2,2.0,1.0,1.0,39,38,41,38,12.0
4,1.0,"I.E. Nº 5125 ""CASUARINAS""",3ro,4.0,4.0,145.0,141,73,64,108,37,53,77,79,87,91,116,20,96,83,95,64,0,0,0,0,0,2,2.0,2.0,2.0,47,59,55,57,16.0
5,1.0,"I.E. Nº 5127 ""MÁRTIR JOSE OLAYA """,3ro,5.0,5.0,155.0,147,92,79,96,49,82,84,83,77,72,116,26,95,95,101,54,0,0,0,0,0,3,2.0,2.0,2.0,54,54,53,57,16.0
6,1.0,"I.E. Nº 5129 ""VENCEDORES DE PACHACÚTEC""",3ro,4.0,4.0,128.0,107,60,49,78,36,46,73,70,50,64,70,23,67,73,70,45,0,0,0,0,0,3,3.0,2.0,2.0,50,60,50,58,16.0
7,1.0,"I.E. Nº 5130- ""PACHACÚTEC""",3ro,5.0,5.0,178.0,142,87,91,100,56,47,77,80,73,88,128,19,88,95,89,35,0,0,0,0,0,3,2.0,2.0,2.0,57,57,56,51,17.0
8,1.0,I.E. Nº 5140 PRES. DE LA REPUBLICA DE COLOMBIA DR. ALVARO URIBE VELEZ,3ro,3.0,3.0,96.0,134,44,60,41,20,44,23,67,63,33,46,16,60,63,34,28,0,0,0,0,0,2,1.0,1.0,1.0,31,35,30,31,10.0
9,1.0,I.E. 5141,3ro,2.0,2.0,77.0,89,49,36,49,32,24,44,41,43,47,50,26,38,41,37,23,0,0,0,0,0,2,2.0,1.0,1.0,43,50,43,38,13.0
10,1.0,I.E. Nº  5147,3ro,2.0,2.0,58.0,54,29,25,31,13,23,32,32,34,34,38,8,33,31,19,30,0,0,0,0,0,2,2.0,1.0,1.0,45,61,49,49,15.0
