Comprensión de Textos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION;;;;;;
;;;;;;;;C1;C1;C2;C1;C2;C2;C1;C3;C3;C2;C2;C2;C3;C2;C3;;;;;;;C1;C2;C3;;C1;C2;C3;;;;;;;;
1;1;"I.E. Nº 5116 ""DIVINO CREADOR""";1ro;2;2;47;47;18;20;17;17;8;6;9;3;16;16;8;9;13;7;12;0;0;0;0;0;;2;2;1;0;36%;23%;24%;0%;8;;;;;;
2;1;"I.E. Nº 5122 ""ANDRES RAZURI ESTEVEZ""";1ro;3;3;103;98;95;98;96;61;51;64;62;62;29;59;54;37;39;57;54;0;0;0;0;0;;3;4;2;0;77%;58%;45%;0%;17;;;;;;
3;1;"I.E. Nº 5124 ""LIBERTADOR SIMON BOLIVAR""  HIROSHIMA";1ro;3;3;134;134;97;94;56;41;33;47;50;36;27;54;43;29;42;69;18;0;0;0;0;0;;2;2;1;0;51%;35%;24%;0%;10;;;;;;
4;1;"I.E. Nº 5125 ""CASUARINAS""";1ro;4;4;135;132;122;119;112;74;40;56;62;79;27;88;75;68;66;76;50;0;0;0;0;0;;3;4;2;0;72%;56%;42%;0%;16;;;;;;
5;1;"I.E. Nº 5127 ""MÁRTIR JOSE OLAYA """;1ro;5;5;140;133;104;100;105;81;52;65;70;69;30;65;35;26;44;53;36;0;0;0;0;0;;3;3;1;0;69%;49%;38%;0%;11;;;;;;
6;1;"I.E. Nº 5129 ""VENCEDORES DE PACHACÚTEC""";1ro;4;4;124;110;97;94;98;64;26;48;56;79;28;83;53;55;63;68;65;0;0;0;0;0;;3;4;2;0;71%;56%;53%;0%;17;;;;;;
7;1;"I.E. Nº 5130- ""PACHACÚTEC""";1ro;5;5;151;144;128;119;104;81;56;64;74;78;51;89;74;66;73;63;55;0;0;0;0;0;;3;4;2;0;71%;51%;45%;0%;15;;;;;;
8;1;I.E. Nº 5140 PRES. DE LA REPUBLICA DE COLOMBIA DR. ALVARO URIBE VELEZ;1ro;2;2;64;90;29;40;26;30;7;24;15;23;10;31;21;16;29;16;23;0;0;0;0;0;;2;2;1;0;32%;23%;24%;0%;8;;;;;;
9;1;I.E. 5141;1ro;3;3;121;121;76;66;61;40;41;43;38;45;32;66;21;48;61;55;51;0;0;0;0;0;;2;3;1;0;49%;43%;42%;0%;13;;;;;;
10;1;I.E. Nº  5147;1ro;2;2;47;43;32;32;28;9;5;14;10;6;12;31;12;12;15;7;9;0;0;0;0;0;;2;3;1;0;48%;36%;25%;0%;10;;;;;;
11;1;IE Nº 5148 - LAS BRISAS DE PACHACÚTEC;1ro;1;1;28;27;26;27;22;15;8;13;10;15;6;19;11;5;12;18;11;0;0;0;0;0;;3;4;2;0;72%;51%;41%;0%;15;;;;;;
12;1;I.E. N° 5154;1ro;1;1;34;30;24;21;27;7;5;10;10;12;9;13;12;7;5;10;8;0;0;0;0;0;;2;3;1;0;52%;40%;28%;0%;11;;;;;;
13;1;I.E. FE Y ALEGRIA 59;1ro;2;2;68;68;65;59;65;58;45;39;58;44;42;50;37;15;33;42;43;0;0;0;0;0;;4;4;3;0;88%;62%;38%;0%;19;;;;;;
14;1;I.E. SAN JUAN MACIAS;1ro;2;2;57;57;57;51;52;39;9;20;17;29;14;34;26;18;31;28;49;0;0;0;0;0;;3;4;2;0;72%;46%;54%;0%;16;;;;;;
15;1;IE Nº 5142  - VIRGEN DE GUADALUPE;1ro;3;3;85;87;76;54;65;46;40;42;45;48;36;51;43;37;54;50;51;0;0;0;0;0;;2;3;1;0;44%;37%;34%;0%;11;;;;;;
16;2;"I.E. Nº 5117 ""JORGE PORTOCARRERO REBAZA""";1ro;5;5;154;143;102;102;88;61;54;51;61;55;31;78;57;67;76;59;58;0;0;0;0;0;;2;4;2;0;63%;51%;44%;0%;15;;;;;;
17;2;"I.E. Nº 5128 "" SAGRADO CORAZÓN DE MARIA""";1ro;5;5;154;153;105;101;106;95;62;83;94;102;79;114;84;83;96;97;71;0;0;0;0;0;;3;4;2;0;64%;59%;57%;0%;18;;;;;;
18;2;"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""";1ro;2;2;67;51;49;41;21;15;11;16;21;21;9;27;19;14;18;24;16;0;0;0;0;0;;3;3;1;0;60%;37%;32%;0%;12;;;;;;
19;2;"I.E. Nº 5145 ""BALNEARIO""";1ro;2;2;77;72;42;47;50;46;34;21;35;34;18;41;26;26;27;25;20;0;0;0;0;0;;3;3;1;0;59%;45%;35%;0%;13;;;;;;
20;2;I.E. Nº 5146;1ro;2;1;53;47;33;25;25;10;12;13;13;15;9;25;10;24;20;19;19;0;0;0;0;0;;2;3;2;0;43%;38%;37%;0%;12;;;;;;
