Comprensión de Textos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION
;;;;;;;;C1;C2;C2;C2;C3;C2;C1;C2;C1;C3;C1;C2;C2;C3;C3;;;;;;;C1;C2;C3;;C1;C2;C3;;
1;1;"I.E. Nº 5116 ""DIVINO CREADOR""";2do;3;3;64;42;30;12;16;22;13;23;20;21;20;15;9;14;11;9;12;0;0;0;0;0;;2;3;1;0;47%;38%;27%;0%;10
2;1;"I.E. Nº 5122 ""ANDRES RAZURI ESTEVEZ""";2do;3;3;100;97;72;35;53;61;45;70;61;48;52;52;17;51;51;36;40;0;0;0;0;0;;2;3;2;0;52%;54%;44%;0%;15
3;1;"I.E. Nº 5124 ""LIBERTADOR SIMON BOLIVAR""  HIROSHIMA";2do;4;4;149;149;89;48;70;75;55;76;62;62;61;67;25;40;42;23;42;0;0;0;0;0;;2;3;2;0;42%;42%;33%;0%;12
4;1;"I.E. Nº 5125 ""CASUARINAS""";2do;4;4;136;133;109;57;82;81;80;94;76;60;74;71;46;64;33;23;37;0;0;0;0;0;;2;4;2;0;57%;50%;40%;0%;14
5;1;"I.E. Nº 5127 ""MÁRTIR JOSE OLAYA """;2do;5;5;161;153;93;42;72;83;60;77;54;51;51;71;32;50;40;31;54;0;0;0;0;0;;2;3;2;0;42%;43%;40%;0%;13
6;1;"I.E. Nº 5129 ""VENCEDORES DE PACHACÚTEC""";2do;4;4;129;128;102;42;76;90;73;95;84;65;81;72;28;65;39;45;46;0;0;0;0;0;;2;4;2;0;57%;53%;46%;0%;15
7;1;"I.E. Nº 5130- ""PACHACÚTEC""";2do;5;5;173;160;121;48;96;99;84;113;85;74;88;77;35;73;53;43;53;0;0;0;0;0;;2;3;1;0;42%;40%;32%;0%;11
8;1;I.E. Nº 5140 PRES. DE LA REPUBLICA DE COLOMBIA DR. ALVARO URIBE VELEZ;2do;3;2;99;71;30;35;47;47;52;45;47;51;42;35;44;31;38;25;19;0;0;0;0;0;;2;3;1;0;48%;45%;34%;300%;21
9;1;I.E. 5141;2do;2;2;69;90;59;37;49;57;40;59;48;48;56;53;40;49;42;43;44;0;0;0;0;0;;2;4;2;0;56%;54%;50%;0%;16
10;1;I.E. Nº  5147;2do;2;2;56;49;35;18;27;29;23;28;25;26;25;22;13;15;16;17;20;0;0;0;0;0;;2;3;2;0;50%;46%;42%;0%;13
11;1;IE Nº 5148 - LAS BRISAS DE PACHACÚTEC;2do;1;1;35;32;29;14;21;25;18;25;23;17;20;28;10;17;7;4;14;0;0;0;0;0;;3;4;2;0;64%;56%;50%;0%;16
12;1;I.E. N° 5154;2do;1;1;36;30;18;6;18;19;18;21;26;20;16;17;2;11;16;5;22;0;0;0;0;0;;2;4;2;0;52%;0%;0%;0%;16
13;1;I.E. FE Y ALEGRIA 59;2do;3;3;93;93;80;36;49;66;54;60;47;49;58;56;18;38;32;20;42;0;0;0;0;0;;2;3;2;0;55%;51%;46%;0%;15
14;1;I.E. SAN JUAN MACIAS;2do;1;1;32;32;28;15;17;22;19;26;21;21;22;20;9;19;16;12;17;0;0;0;0;0;;3;4;2;0;63%;61%;53%;0%;17
15;1;IE Nº 5142  - VIRGEN DE GUADALUPE;2do;3;3;95;87;66;36;41;44;40;48;40;47;48;46;14;31;23;25;29;0;0;0;0;0;;1;1;1;0;17%;16%;15%;0%;5
16;2;"I.E. Nº 5117 ""JORGE PORTOCARRERO REBAZA""";2do;5;5;137;127;98;48;77;89;77;92;64;58;64;79;47;72;56;43;51;0;0;0;0;0;;2;4;2;0;56%;57%;50%;0%;16
